timestamp,event_type,src_ip,dst_ip,details
2025-03-01 11:46:20,Port Scan Attempt,10.0.2.8,20.189.173.26,Port: 443
2025-03-01 11:45:33,Port Scan Attempt,10.0.2.8,20.189.173.26,Port: 443
2025-03-01 11:45:12,Port Scan Attempt,10.0.2.8,20.42.65.89,Port: 443
2025-03-01 11:44:20,Port Scan Attempt,10.0.2.8,20.42.65.89,Port: 443
2025-03-01 11:43:54,Port Scan Attempt,10.0.2.8,20.42.73.31,Port: 443
2025-03-01 11:43:50,Port Scan Attempt,10.0.2.8,20.189.172.33,Port: 443
2025-03-01 11:43:46,Port Scan Attempt,10.0.2.8,20.189.172.33,Port: 443
2025-03-01 11:43:41,Port Scan Attempt,10.0.2.8,169.254.169.254,Port: 80
2025-03-01 11:43:38,Port Scan Attempt,10.0.2.8,169.254.169.254,Port: 80
2025-03-01 11:43:35,Port Scan Attempt,10.0.2.8,169.254.169.254,Port: 80
2025-03-01 11:43:32,Port Scan Attempt,10.0.2.8,169.254.169.254,Port: 80
2025-03-01 11:43:27,Port Scan Attempt,10.0.2.8,169.254.169.254,Port: 80
2025-03-01 11:43:22,Port Scan Attempt,10.0.2.8,169.254.169.254,Port: 80
2025-03-01 11:43:19,Port Scan Attempt,10.0.2.8,169.254.169.254,Port: 80
2025-03-01 11:43:14,Port Scan Attempt,10.0.2.8,169.254.169.254,Port: 80
2025-03-01 11:43:10,Port Scan Attempt,10.0.2.8,169.254.169.254,Port: 80
2025-03-01 11:43:07,Port Scan Attempt,10.0.2.8,169.254.169.254,Port: 80
2025-03-01 11:43:04,Port Scan Attempt,10.0.2.8,169.254.169.254,Port: 80
2025-03-01 11:43:01,Port Scan Attempt,10.0.2.8,169.254.169.254,Port: 80
2025-03-01 11:42:55,Port Scan Attempt,10.0.2.8,20.42.73.31,Port: 443
2025-03-01 11:42:27,Port Scan Attempt,10.0.2.8,20.189.172.32,Port: 443
2025-03-01 11:42:14,Port Scan Attempt,10.0.2.8,169.254.169.254,Port: 80
2025-03-01 11:42:05,Port Scan Attempt,10.0.2.8,169.254.169.254,Port: 80
2025-03-01 11:40:06,Port Scan Attempt,10.0.2.8,52.182.143.215,Port: 443
2025-03-01 11:39:14,Port Scan Attempt,10.0.2.8,20.189.173.9,Port: 443
2025-03-01 11:39:03,Port Scan Attempt,10.0.2.8,13.89.178.26,Port: 443
2025-03-01 11:38:43,Port Scan Attempt,10.0.2.8,20.42.65.84,Port: 443
2025-03-01 11:38:39,Port Scan Attempt,10.0.2.8,20.42.65.84,Port: 443
2025-03-01 11:38:36,Port Scan Attempt,10.0.2.8,20.42.65.84,Port: 443
2025-03-01 11:38:35,Port Scan Attempt,10.0.2.8,52.182.141.63,Port: 443
2025-03-01 11:38:32,Port Scan Attempt,10.0.2.8,52.182.141.63,Port: 443
2025-03-01 11:37:58,Port Scan Attempt,10.0.2.8,20.42.65.88,Port: 443
2025-03-01 11:37:53,Test Event,192.168.1.1,192.168.1.2,Test details
2025-03-01 11:34:57,Test Event,192.168.1.1,192.168.1.2,Test details
2025-03-01 11:34:24,Port Scan Attempt,10.0.2.8,13.89.179.13,Port: 443
2025-03-01 11:34:21,Port Scan Attempt,10.0.2.8,13.89.179.9,Port: 443
2025-03-01 11:34:18,Port Scan Attempt,10.0.2.8,13.89.179.9,Port: 443
2025-03-01 11:34:15,Port Scan Attempt,10.0.2.8,140.82.113.22,Port: 443
2025-03-01 11:34:15,Port Scan Attempt,10.0.2.8,140.82.113.22,Port: 443
2025-03-01 11:34:04,Port Scan Attempt,10.0.2.8,20.189.173.27,Port: 443
2025-03-01 11:34:00,Port Scan Attempt,10.0.2.8,20.189.173.27,Port: 443
2025-03-01 11:33:56,Port Scan Attempt,10.0.2.8,140.82.113.22,Port: 443
2025-03-01 11:33:55,Port Scan Attempt,10.0.2.8,140.82.113.22,Port: 443
2025-03-01 11:33:50,Port Scan Attempt,10.0.2.8,104.46.162.225,Port: 443
2025-03-01 11:33:47,Port Scan Attempt,10.0.2.8,52.182.143.214,Port: 443
2025-03-01 11:33:42,Port Scan Attempt,10.0.2.8,52.182.143.214,Port: 443
2025-03-01 11:33:39,Port Scan Attempt,10.0.2.8,140.82.113.22,Port: 443
2025-03-01 11:33:13,Test Event,192.168.1.1,192.168.1.2,Test details
2025-03-01 11:32:46,Port Scan Attempt,10.0.2.8,20.189.173.2,Port: 443
2025-03-01 11:32:42,Port Scan Attempt,10.0.2.8,20.189.173.2,Port: 443
2025-03-01 11:32:39,Port Scan Attempt,10.0.2.8,20.189.173.1,Port: 443
2025-03-01 11:32:34,Port Scan Attempt,10.0.2.8,20.189.173.1,Port: 443
2025-03-01 11:32:31,Port Scan Attempt,10.0.2.8,51.104.15.252,Port: 443
2025-03-01 11:32:31,Port Scan Attempt,10.0.2.8,142.250.218.106,Port: 443
2025-03-01 11:32:30,Port Scan Attempt,10.0.2.8,140.82.114.21,Port: 443
2025-03-01 11:32:30,Port Scan Attempt,10.0.2.8,140.82.114.21,Port: 443
2025-03-01 11:32:28,Port Scan Attempt,10.0.2.8,51.104.15.252,Port: 443
2025-03-01 11:32:26,Port Scan Attempt,10.0.2.8,51.104.15.252,Port: 443
2025-03-01 11:32:24,Port Scan Attempt,10.0.2.8,51.104.15.252,Port: 443
2025-03-01 11:32:20,Port Scan Attempt,10.0.2.8,52.168.117.170,Port: 443
2025-03-01 11:32:17,Port Scan Attempt,10.0.2.8,52.168.117.170,Port: 443
2025-03-01 11:32:12,Port Scan Attempt,10.0.2.8,140.82.113.22,Port: 443
2025-03-01 11:31:38,Test Event,192.168.1.1,192.168.1.2,Test details
2025-03-01 11:30:14,Test Event,192.168.1.1,192.168.1.2,Test details
2025-01-18 11:47:51,Port Scan Attempt,10.0.2.8,10.0.2.5,Port: 0
2025-01-18 11:47:51,Port Scan Attempt,10.0.2.8,10.0.2.5,Port: 0
2025-01-18 11:47:51,Port Scan Attempt,10.0.2.8,10.0.2.5,Port: 0
2025-01-18 11:47:51,Port Scan Attempt,10.0.2.8,10.0.2.5,Port: 0
2025-01-18 11:47:51,Port Scan Attempt,10.0.2.8,10.0.2.5,Port: 0
2025-01-18 11:47:51,Port Scan Attempt,10.0.2.8,10.0.2.5,Port: 0
